Time,Data
14:42:11,AXT= -1.02 AYT= 3.03 AZT= 3.19 GX= -6.98 GY= 0.26 GZ= 0.63 AXL= 0.12 AYL= -0.54 AZL= -8.74 GXYZ= 7.02
14:42:11,AXYZ= 0.55
14:42:11,the car stop moving
14:42:11,AXT= -0.96 AYT= 3.29 AZT= 3.43 GX= -6.93 GY= 0.09 GZ= 0.73 AXL= 0.10 AYL= -0.58 AZL= -8.73 GXYZ= 6.97
14:42:11,AXYZ= 0.59
14:42:11,the car stop moving
14:42:11,AXT= -0.76 AYT= 2.40 AZT= 2.52 GX= -6.98 GY= 0.28 GZ= 0.79 AXL= 0.09 AYL= -0.43 AZL= -8.74 GXYZ= 7.03
14:42:11,AXYZ= 0.43
14:42:11,the car stop moving
14:42:11,AXT= -0.79 AYT= 3.12 AZT= 3.22 GX= -6.89 GY= 0.38 GZ= 0.79 AXL= 0.08 AYL= -0.55 AZL= -8.74 GXYZ= 6.95
14:42:11,AXYZ= 0.55
14:42:11,the car stop moving
14:42:11,AXT= -0.90 AYT= 2.92 AZT= 3.06 GX= -6.86 GY= 0.16 GZ= 0.57 AXL= 0.10 AYL= -0.52 AZL= -8.74 GXYZ= 6.89
14:42:11,AXYZ= 0.53
14:42:11,the car stop moving
14:42:11,AXT= -1.06 AYT= 3.07 AZT= 3.25 GX= -6.82 GY= 0.26 GZ= 0.60 AXL= 0.12 AYL= -0.55 AZL= -8.74 GXYZ= 6.86
14:42:11,AXYZ= 0.56
14:42:11,the car stop moving
14:42:11,AXT= -0.72 AYT= 2.70 AZT= 2.79 GX= -6.89 GY= 0.24 GZ= 0.66 AXL= 0.07 AYL= -0.47 AZL= -8.75 GXYZ= 6.92
14:42:11,AXYZ= 0.48
14:42:11,the car stop moving
14:42:11,AXT= -0.75 AYT= 2.91 AZT= 3.01 GX= -6.91 GY= 0.05 GZ= 0.78 AXL= 0.08 AYL= -0.51 AZL= -8.74 GXYZ= 6.95
14:42:11,AXYZ= 0.52
14:42:11,the car stop moving
14:42:11,AXT= -0.88 AYT= 3.09 AZT= 3.21 GX= -6.93 GY= -0.06 GZ= 0.75 AXL= 0.09 AYL= -0.55 AZL= -8.74 GXYZ= 6.97
14:42:11,AXYZ= 0.55
14:42:11,the car stop moving
